dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
synthetic,roi_truncation,support_policy_control,witness_seconds,32,0,0.0006008999989717267,0.0010554499990576005,0.00128844999926514,0.0015197250004348462,0.001806899999792222,0.001288603124862675
synthetic,roi_truncation,support_policy_control,file_io_seconds,32,0,0.02586889999838604,0.04126887500024168,0.04389809999975114,0.047166275000108726,0.05157320000034815,0.04321750937492652
synthetic,roi_truncation,support_policy_control,file_witness_seconds,32,0,0.0006410000005416805,0.0010553000006439106,0.0013310500007719384,0.0014683000003969937,0.0017506999993202044,0.0012715687499280648
synthetic,roi_truncation,support_policy_control,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,shared_origin_shift,own_wrapper_mutation,producer_seconds,32,0,0.0002795000000332948,0.0004094749992873403,0.00045264999971550424,0.0005465749995892111,0.0009755999999470077,0.0004863687498186664
synthetic,shared_origin_shift,own_wrapper_mutation,witness_seconds,32,0,0.0017150000003312016,0.003258674998960487,0.0040091500004564296,0.00472170000011829,0.006904999998369021,0.004028359374842694
synthetic,shared_origin_shift,own_wrapper_mutation,file_io_seconds,32,0,0.028590199999598553,0.04449742499991771,0.0480293000000529,0.05124419999901875,0.05571550000058778,0.04650811250002107
synthetic,shared_origin_shift,own_wrapper_mutation,file_witness_seconds,32,0,0.001980199998797616,0.003652225001133047,0.004365949999737495,0.005093975000363571,0.0065443999992567115,0.004264115624778242
synthetic,shared_origin_shift,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,stale_crop_origin,own_wrapper_mutation,producer_seconds,32,0,0.0002796000007947441,0.00043767500028479844,0.0004906999993181671,0.0005143000003045017,0.0005596999999397667,0.0004665187499313106
synthetic,stale_crop_origin,own_wrapper_mutation,witness_seconds,32,0,0.0019004000005224952,0.003713774999596353,0.004253500000231725,0.005153000000063912,0.006610599999476108,0.00435149687490366
synthetic,stale_crop_origin,own_wrapper_mutation,file_io_seconds,32,0,0.024800799999866285,0.04752810000036334,0.05075834999934159,0.053852950000873534,0.10862810000071477,0.051194525000141766
synthetic,stale_crop_origin,own_wrapper_mutation,file_witness_seconds,32,0,0.0019093999999313382,0.003609424999467592,0.004516199999670789,0.005080049999378389,0.0061540999995486345,0.004318734374749056
synthetic,stale_crop_origin,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
synthetic,wrong_image_kernel,own_wrapper_mutation,producer_seconds,32,0,0.0017281000000366475,0.0037664500005121226,0.004883999999947264,0.006390574999841192,0.00906819999909203,0.005101378124948042
synthetic,wrong_image_kernel,own_wrapper_mutation,witness_seconds,32,0,0.017794000001231325,0.034671399999751884,0.04826110000067274,0.06472027500058175,0.08131590000084543,0.04885983750006062
synthetic,wrong_image_kernel,own_wrapper_mutation,file_io_seconds,32,0,0.028579600000739447,0.048443674999361974,0.05316300000049523,0.0572597999998834,0.08402749999913794,0.051749678124906495
synthetic,wrong_image_kernel,own_wrapper_mutation,file_witness_seconds,32,0,0.012180300000181887,0.03424587499966947,0.04936879999968369,0.06607777499993972,0.07920240000021295,0.04963826250013881
synthetic,wrong_image_kernel,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,32,,,,,,
