grouping,engine,source_kind,modality,operation,metric,available_n,missing_n,min,q25,median,q75,max,mean
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,baseline_seconds,12,0,0.038581900000281166,0.04158369999822753,0.04388345000006666,0.045868549999795505,0.04801789999692119,0.04343230833273992
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,audited_seconds,12,0,0.05975849999958882,0.09050087500236259,0.09787770000002638,0.10525507500096865,0.11110280000139028,0.0951505583340501
engine_kind_modality_operation,pyradiomics,public_anatomical,mr,linear_1p3,total_seconds,12,0,0.6943614000010712,0.7433292999994592,0.7615069500006939,0.7886358499999915,0.8179515000010724,0.7625704166669797
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,baseline_seconds,8,0,0.051035500000580214,0.051114625001901004,0.05279730000074778,0.05574905000048602,0.057134599999699276,0.05348730000105206
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,audited_seconds,8,0,1.3576711999994586,1.5058107499999096,1.625061500000811,1.7629657750012484,2.3877143999998225,1.7180623625004046
engine_kind_modality_operation,pyradiomics,synthetic,mr,cubic_1p3,total_seconds,8,0,2.0188163000020722,2.1933612999991965,2.291766100001041,2.445380424999712,3.0450721999986854,2.38732040000059
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,baseline_seconds,8,0,0.036128699997789226,0.038672949998726835,0.04012210000109917,0.040744474999883096,0.04158910000114702,0.03959036249989367
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,audited_seconds,8,0,0.06181600000127219,0.06854967500021303,0.07406560000163154,0.07750782499988418,0.0783735999975761,0.07217767500014816
engine_kind_modality_operation,pyradiomics,synthetic,mr,identity,total_seconds,8,0,0.6673650000011548,0.7176955499999167,0.7303198000008706,0.7380767000004198,0.7843070999988413,0.7273833125000237
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,baseline_seconds,8,0,0.04279989999849931,0.04414225000073202,0.04598230000010517,0.04990844999974797,0.05650720000267029,0.047886387500057026
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,audited_seconds,8,0,0.09906030000274768,0.11004995000166673,0.11285250000037195,0.12217410000084783,0.16145599999799742,0.12047751250020156
engine_kind_modality_operation,pyradiomics,synthetic,mr,linear_1p3,total_seconds,8,0,0.7252485999997589,0.7350049500009845,0.74287749999894,0.7727729500011264,0.8167318000014347,0.7569365500003187
