dataset,case,kind,metric,n,missing,min,q25,median,q75,max,mean
Task04_Hippocampus,orient,valid_control,witness_seconds,260,0,0.005438700000013341,0.00966247499900419,0.011233100000026752,0.013161149999632471,0.02953489999890735,0.01140491615378778
Task04_Hippocampus,orient,valid_control,file_io_seconds,3,257,0.03135649999967427,0.03342290000000503,0.03548930000033579,0.04493850000017119,0.05438770000000659,0.040411166666672216
Task04_Hippocampus,orient,valid_control,file_witness_seconds,3,257,0.005795699998998316,0.006150949999209843,0.006506199999421369,0.010181749999901513,0.013857300000381656,0.00871973333293378
Task04_Hippocampus,orient,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,pad,valid_control,producer_seconds,260,0,0.0008765999991737772,0.0012583499997163017,0.0015220499999486492,0.001975850000690116,0.0032155999997485196,0.0016240169230373935
Task04_Hippocampus,pad,valid_control,witness_seconds,260,0,0.0074202999985573115,0.012160349999248865,0.013790500000141037,0.016066599999248865,0.03719620000083523,0.014189401153872985
Task04_Hippocampus,pad,valid_control,file_io_seconds,3,257,0.03388219999942521,0.03528049999931682,0.03667879999920842,0.03799984999932349,0.03932089999943855,0.0366272999993574
Task04_Hippocampus,pad,valid_control,file_witness_seconds,3,257,0.008057999999437016,0.008572599999752128,0.009087200000067241,0.009143000000221946,0.00919880000037665,0.008781333333293636
Task04_Hippocampus,pad,valid_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,premature_integer_storage,own_wrapper_mutation,producer_seconds,260,0,0.0008455999995931052,0.0012530500007414958,0.0015230999988489202,0.0018379749994892336,0.005183100000067498,0.0015851980769184594
Task04_Hippocampus,premature_integer_storage,own_wrapper_mutation,witness_seconds,260,0,0.02236090000042168,0.03742702500039741,0.04284395000013319,0.048793199999181525,0.09748910000053002,0.04380399807695749
Task04_Hippocampus,premature_integer_storage,own_wrapper_mutation,file_io_seconds,3,257,0.03327820000049542,0.034810400000424124,0.03634260000035283,0.05013119999966875,0.06391979999898467,0.04451353333327764
Task04_Hippocampus,premature_integer_storage,own_wrapper_mutation,file_witness_seconds,3,257,0.02448510000067472,0.024930500000664324,0.025375900000653928,0.03779564999967988,0.050215399998705834,0.03335880000001149
Task04_Hippocampus,premature_integer_storage,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,roi_truncation,support_policy_control,producer_seconds,260,0,0.0005734999995183898,0.000806375000593107,0.0010392499998488347,0.00117950000003475,0.0017293000000790926,0.0010060061538822013
Task04_Hippocampus,roi_truncation,support_policy_control,witness_seconds,260,0,0.001144699999713339,0.0021103500012031873,0.0024964500007627066,0.0029539500005739683,0.005721599998651072,0.002541861538527603
Task04_Hippocampus,roi_truncation,support_policy_control,file_io_seconds,3,257,0.02980559999923571,0.032020749999901454,0.0342359000005672,0.042895100000350794,0.05155430000013439,0.03853193333331243
Task04_Hippocampus,roi_truncation,support_policy_control,file_witness_seconds,3,257,0.0011907999996765284,0.0012132499996369006,0.0012356999995972728,0.00205779999942024,0.0028798999992432073,0.0017687999995056696
Task04_Hippocampus,roi_truncation,support_policy_control,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,shared_origin_shift,own_wrapper_mutation,producer_seconds,260,0,0.0001692000005277805,0.0003704250002556364,0.0004672499999287538,0.0005432249995465099,0.0016655999988870462,0.0004873584615010119
Task04_Hippocampus,shared_origin_shift,own_wrapper_mutation,witness_seconds,260,0,0.00598580000041693,0.009932299999945826,0.011304799999379611,0.012919200000396813,0.022821900000053574,0.011473048846157605
Task04_Hippocampus,shared_origin_shift,own_wrapper_mutation,file_io_seconds,3,257,0.030555000001186272,0.033343850001074316,0.03613270000096236,0.046204400000533496,0.056276100000104634,0.040987933334084424
Task04_Hippocampus,shared_origin_shift,own_wrapper_mutation,file_witness_seconds,3,257,0.00608009999996284,0.006208050000168441,0.006336000000374042,0.010767650000161666,0.01519929999994929,0.009205133333428725
Task04_Hippocampus,shared_origin_shift,own_wrapper_mutation,file_unavailable_elapsed_seconds,0,260,,,,,,
Task04_Hippocampus,stale_crop_origin,own_wrapper_mutation,producer_seconds,260,0,0.0002901999996538507,0.0003736500002560206,0.000442000000475673,0.000492425000629737,0.0007232999996631406,0.0004419873077075373
Task04_Hippocampus,stale_crop_origin,own_wrapper_mutation,witness_seconds,260,0,0.005788599999505095,0.00984237500006202,0.011172950000400306,0.012634725000680191,0.022713000000294414,0.011330021923081053
Task04_Hippocampus,stale_crop_origin,own_wrapper_mutation,file_io_seconds,3,257,0.02830520000134129,0.030404250000174216,0.03250329999900714,0.03264584999942599,0.03278839999984484,0.031198966666731092
Task04_Hippocampus,stale_crop_origin,own_wrapper_mutation,file_witness_seconds,3,257,0.00640910000038275,0.006949650000024121,0.007490199999665492,0.007886899999903108,0.008283600000140723,0.007394300000062988
